destination_id,name,description,url,image[0].url,address.addr1,address.city,address.region,address.country,address.postal_code,neighborhood[0],latitude,longitude,type,types,price,currency
nyar,Nyår,"Skåla in 2027 tillsammans med oss! Fira nyårsafton på bästa sätt – tillsammans. Vi lämnar det gamla året bakom oss, summerar och blickar framåt mot ett nytt, spännande år. Checka in och njut av tillvaron utan stress och måsten under ett dygn hos oss på Hotel Skansen med vårt nyårspaket. Gör ditt nyårfirande på Öland [&hellip;]",https://www.hotelskansen.com/paket/nyar/,https://viva-media.github.io/hotelskansen-feed/images/nyar.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,2745 SEK,SEK
skansenpaket,Skansenpaket,"Upplev Skansenpaketet på Hotel Skansen. Njut av en natt med lyxigt boende, mousserande vin, trerätters middag, och Ölands charm.",https://www.hotelskansen.com/paket/skansenpaket/,https://viva-media.github.io/hotelskansen-feed/images/skansenpaket.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1295 SEK,SEK
skona-sondag,Sköna söndag,"Njut av en skön söndag på Hotel Skansen. Inkluderar tillgång till relax, sen utcheckning, välkomstdrink, 2-rätters middag, och frukost.",https://www.hotelskansen.com/paket/skona-sondag/,https://viva-media.github.io/hotelskansen-feed/images/skona-sondag.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1110 SEK,SEK
spa-paket-halvdag-2,Dagslyx,"Skäm bort dig med en lyxig halvdag för 1045 SEK/person, inklusive lån av badrock, handduk, tofflor och entré till vår relax, 50-minuters behandling och lunch.",https://www.hotelskansen.com/paket/spa-paket-halvdag-2/,https://viva-media.github.io/hotelskansen-feed/images/spa-paket-halvdag-2.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1045 SEK,SEK
spa-paket-heldag-ma-bra,Heldag må bra,"Njut av en heldag som får dig att må bra för 1295 kr/person. Inkluderar badrock, handduk, tofflor, tillgång till vår relax, lunch, och två 25-minuters behandlingar.",https://www.hotelskansen.com/paket/spa-paket-heldag-ma-bra/,https://viva-media.github.io/hotelskansen-feed/images/spa-paket-heldag-ma-bra.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1295 SEK,SEK
spa-paket-kvallsmys-25-min,Kvällsmys,"Unna dig en avkopplande myskväll för 950 kr/person. Inkluderar lån av badrock, handduk, tofflor, relax, välkomstdrink, 2-rätters middag och 25 min behandling.",https://www.hotelskansen.com/paket/spa-paket-kvallsmys-25-min/,https://viva-media.github.io/hotelskansen-feed/images/spa-paket-kvallsmys-25-min.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,950 SEK,SEK
spa-paket-lycka,Spapaket Lycka,"Unna dig Spapaket Lycka på Hotel Skansen. Avkoppling med mousserande, spabehandling och trerättersmiddag. Upplev Ölands pärlor och vårt relaxområde.",https://www.hotelskansen.com/paket/spa-paket-lycka/,https://viva-media.github.io/hotelskansen-feed/images/spa-paket-lycka.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,2405 SEK,SEK
spaentre-med-lunch,Spaentré med/utan lunch,"Välj spaentré med eller utan lunch. Inkluderar badrock, handduk, tofflor och relax. Priser från 320 kr. Lunchtillägg möjligt, serveras 11.30-15.30.",https://www.hotelskansen.com/paket/spaentre-med-lunch/,https://viva-media.github.io/hotelskansen-feed/images/spaentre-med-lunch.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,320 SEK,SEK
tingshuspaket,Tingshuspaket,"Tingshuspaketet– weekend hela veckan. Lämna vardagsstressen hemma och låta oss ta hand om er. Njut av en eftermiddag i vår relaxavdelning och avsluta kvällen med ett glas mousserande vin och en trerätters middag i vår restaurang. Vakna utvilad efter en ta god natts sömn startar ni dagen med vår populära frukostbuffé! Dag 1 Tillgång till [&hellip;]",https://www.hotelskansen.com/paket/tingshuspaket/,https://viva-media.github.io/hotelskansen-feed/images/tingshuspaket.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1510 SEK,SEK
vinprovningspaket,Vinprovningspaket,"En vistelse där du får upptäcka nya viner hos oss på Öland. Välkommen till Hotel Skansen och ett fulländat dygn i vinets tecken! Vår kunniga provningsledare tar med er på en smakupplevelse utöver det vanliga – både för nybörjare och vinfantaster. Kvällen avslutas med en härlig middag i någon av våra matsalar. Efter en god [&hellip;]",https://www.hotelskansen.com/paket/vinprovningspaket/,https://viva-media.github.io/hotelskansen-feed/images/vinprovningspaket.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1930 SEK,SEK
whiskypaket,Whiskypaket,"Upptäck whiskyns värld med Hotel Skansen. Whiskyprovning i en av världens största whiskykällare, övernattning, gourmetmiddag och frukostbuffé.",https://www.hotelskansen.com/paket/whiskypaket/,https://viva-media.github.io/hotelskansen-feed/images/whiskypaket.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1750 SEK,SEK
